RegionID,RegionName,State,Metro,CountyName,SizeRank,% increase over 1996 to 2016
3379,Alta,CA,Sacramento,Placer,10360,209.4%
3491,Avalon,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,6653,#DIV/0!
3493,Avenal,CA,Hanford,Kings,3600,#DIV/0!
3506,Bakersfield,CA,Bakersfield,Kern,57,215.0%
3719,Blythe,CA,Riverside,Riverside,1999,178.3%
3893,Burbank,CA,San Jose,Santa Clara,5257,389.5%
3929,Calistoga,CA,Napa,Napa,4569,#DIV/0!
3963,Canyon Lake,CA,Riverside,Riverside,3308,259.0%
3975,Carlsbad,CA,San Diego,San Diego,300,331.5%
3980,Carpinteria,CA,Santa Maria-Santa Barbara,Santa Barbara,2601,326.4%
4148,Coalinga,CA,Fresno,Fresno,2017,181.3%
4281,Cupertino,CA,San Jose,Santa Clara,754,448.1%
4406,Downey,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,249,292.1%
4582,Emeryville,CA,San Francisco,Alameda,3775,348.7%
4632,Exeter,CA,Visalia,Tulare,2478,208.9%
4650,Fair Oaks,CA,Sacramento,Sacramento,1037,259.8%
4757,Forestville,CA,Santa Rosa,Sonoma,6718,293.6%
4793,Fowler,CA,Fresno,Fresno,4701,224.6%
4905,Glen Ellen,CA,Santa Rosa,Sonoma,6660,471.5%
4931,Goleta,CA,Santa Maria-Santa Barbara,Santa Barbara,1596,319.8%
5130,Herald,CA,Sacramento,Sacramento,7344,287.4%
5147,Hidden Valley Lake,CA,Clearlake,Lake,6463,204.2%
5265,Imperial Beach,CA,San Diego,San Diego,1595,343.7%
5319,Janesville,CA,Susanville,Lassen,8033,177.6%
5427,King City,CA,Salinas,Monterey,3860,185.0%
5433,Kings Beach,CA,Sacramento,Placer,7096,#DIV/0!
5465,La Mirada,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,905,312.6%
5482,Lake Arrowhead,CA,Riverside,San Bernardino,6269,242.8%
5534,Lancaster,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,134,239.9%
5693,Loomis,CA,Sacramento,Placer,3171,#DIV/0!
5994,Mira Loma,CA,Riverside,Riverside,1930,320.3%
6021,Monterey Park,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,722,328.8%
6043,Morgan Hill,CA,San Jose,Santa Clara,1389,278.7%
6103,Murrieta,CA,Riverside,Riverside,265,237.6%
6112,Napa,CA,Napa,Napa,341,334.9%
6285,Oceanside,CA,San Diego,San Diego,114,335.3%
6395,Paramount,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,840,289.6%
6485,Phelan,CA,Riverside,San Bernardino,2305,253.0%
6495,Piedmont,CA,San Francisco,Alameda,3370,387.5%
6809,Rocklin,CA,Sacramento,Placer,706,264.3%
6814,Rodeo,CA,San Francisco,Contra Costa,4250,308.5%
6819,Rohnert Park,CA,Santa Rosa,Sonoma,1342,286.7%
6822,Rolling Hills,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,8629,265.1%
6840,Ross,CA,San Francisco,Marin,10437,#DIV/0!
6916,San Carlos,CA,San Francisco,San Mateo,1376,462.7%
6919,San Jacinto,CA,Riverside,Riverside,1015,234.6%
6922,San Juan Bautista,CA,San Jose,San Benito,6735,#DIV/0!
6923,San Luis Obispo,CA,San Luis Obispo,San Luis Obispo,666,378.4%
6943,Santee,CA,San Diego,San Diego,765,299.5%
7026,Shafter,CA,Bakersfield,Kern,2187,230.5%
7035,Shaver Lake,CA,Fresno,Fresno,10097,265.6%
7266,Stockton,CA,Stockton,San Joaquin,64,225.8%
7304,Barstow,CA,Riverside,San Bernardino,1274,167.5%
7332,Susanville,CA,Susanville,Lassen,2070,#DIV/0!
7386,Temecula,CA,Riverside,Riverside,257,262.7%
7453,Tracy,CA,Stockton,San Joaquin,263,240.3%
7484,Tulare,CA,Visalia,Tulare,517,193.7%
7518,Ukiah,CA,Ukiah,Mendocino,1518,#DIV/0!
7662,Valley Center,CA,San Diego,San Diego,2067,255.9%
7666,Valley Springs,CA,,Calaveras,3720,#DIV/0!
7777,Waterford,CA,Modesto,Stanislaus,4239,224.7%
7784,Watsonville,CA,Santa Cruz,Santa Cruz,451,264.7%
7809,Weed,CA,,Siskiyou,6221,181.4%
7981,Winters,CA,Sacramento,Yolo,4170,256.8%
8113,Cazadero,CA,Santa Rosa,Sonoma,10312,#DIV/0!
8383,Berry Creek,CA,Chico,Butte,10416,#DIV/0!
8384,Fountain Valley,CA,Los Angeles-Long Beach-Anaheim,Orange,781,326.8%
8572,Hughson,CA,Modesto,Stanislaus,3015,268.9%
8621,Green Valley Lake,CA,Riverside,San Bernardino,10093,220.2%
8646,Inverness,CA,San Francisco,Marin,10620,#DIV/0!
8935,Parlier,CA,Fresno,Fresno,2812,197.9%
8996,Newcastle,CA,Sacramento,Placer,5789,#DIV/0!
9014,McCloud,CA,,Siskiyou,10565,#DIV/0!
9020,Nipomo,CA,San Luis Obispo,San Luis Obispo,2210,308.8%
9058,Mentone,CA,Riverside,San Bernardino,4518,251.6%
9208,Salida,CA,Modesto,Stanislaus,4245,230.2%
9255,San Pablo,CA,San Francisco,Contra Costa,825,307.4%
9355,Winton,CA,Merced,Merced,2971,200.4%
9403,Thousand Palms,CA,Riverside,Riverside,4308,251.9%
9553,Mendota,CA,Fresno,Fresno,4799,194.2%
9735,Los Molinos,CA,Red Bluff,Tehama,8608,#DIV/0!
9840,Agoura Hills,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1966,308.1%
9940,Palo Cedro,CA,Redding,Shasta,8113,240.3%
10128,Anderson,CA,Redding,Shasta,2587,219.2%
10157,Arcata,CA,Eureka,Humboldt,2262,#DIV/0!
10241,Baldwin Park,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,518,303.4%
10343,Belmont,CA,San Francisco,San Mateo,1670,445.3%
10348,Belvedere,CA,San Francisco,Marin,8049,#DIV/0!
10389,Beverly Hills,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1227,368.7%
10479,Bodega Bay,CA,Santa Rosa,Sonoma,10327,#DIV/0!
10608,Buena Park,CA,Los Angeles-Long Beach-Anaheim,Orange,412,316.5%
10662,Calexico,CA,El Centro,Imperial,1286,#DIV/0!
10665,Calimesa,CA,Riverside,Riverside,3309,285.2%
10723,Carson,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,479,303.4%
10725,Caruthers,CA,Fresno,Fresno,5073,206.4%
10734,Castaic,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,2993,251.8%
10772,Ceres,CA,Modesto,Stanislaus,1297,237.5%
10774,Cerritos,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,975,326.6%
10815,Chino Hills,CA,Riverside,San Bernardino,595,310.8%
10848,Clayton,CA,San Francisco,Contra Costa,3861,292.1%
10850,Clearlake,CA,Clearlake,Lake,5001,171.1%
10902,Colfax,CA,Sacramento,Placer,6614,241.6%
10939,Cool,CA,Sacramento,El Dorado,6572,205.5%
10951,Corning,CA,Red Bluff,Tehama,3596,233.7%
10961,Corte Madera,CA,San Francisco,Marin,4071,#DIV/0!
11180,Durham,CA,Chico,Butte,8604,#DIV/0!
11228,East Palo Alto,CA,San Francisco,San Mateo,1598,421.3%
11274,El Centro,CA,El Centro,Imperial,883,190.2%
11337,Escondido,CA,San Diego,San Diego,190,304.2%
11400,Fallbrook,CA,San Diego,San Diego,1003,276.2%
11462,Folsom,CA,Sacramento,Sacramento,514,263.2%
11477,Forest Ranch,CA,Chico,Butte,9328,#DIV/0!
11535,Freedom,CA,Santa Cruz,Santa Cruz,5234,244.5%
11540,Fremont,CA,San Francisco,Alameda,93,417.7%
11595,Geyserville,CA,Santa Rosa,Sonoma,10174,#DIV/0!
11604,Gilroy,CA,San Jose,Santa Clara,694,279.8%
11626,Glendora,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,814,310.8%
11677,Granite Bay,CA,Sacramento,Placer,2169,243.5%
11685,Grass Valley,CA,Truckee,Nevada,1066,234.7%
11745,Grover Beach,CA,San Luis Obispo,San Luis Obispo,2972,324.2%
11865,Hemet,CA,Riverside,Riverside,243,245.0%
12035,Imperial,CA,El Centro,Imperial,3740,186.7%
12257,Lagunitas,CA,San Francisco,Marin,9280,289.5%
12292,Lakewood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,453,326.1%
12410,Live Oak,CA,Yuba City,Sutter,5520,214.9%
12418,Lockeford,CA,Stockton,San Joaquin,7197,208.3%
12423,Loma Linda,CA,Riverside,San Bernardino,1964,278.7%
12447,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,2,377.5%
12520,Malibu,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3001,390.2%
12592,Martinez,CA,San Francisco,Contra Costa,957,296.3%
12654,McKinleyville,CA,Eureka,Humboldt,2474,277.7%
12710,Middletown,CA,Clearlake,Lake,8943,#DIV/0!
12773,Mission Viejo,CA,Los Angeles-Long Beach-Anaheim,Orange,342,#DIV/0!
12804,Monte Rio,CA,Santa Rosa,Sonoma,9779,281.6%
13070,Oakhurst,CA,Madera,Madera,7303,200.8%
13072,Oakland,CA,San Francisco,Alameda,39,434.3%
13082,Occidental,CA,Santa Rosa,Sonoma,9249,#DIV/0!
13091,Ojai,CA,Ventura,Ventura,2172,301.6%
13108,Ontario,CA,Riverside,San Bernardino,144,312.9%
13114,Orange Cove,CA,Fresno,Fresno,3893,163.2%
13127,Oroville,CA,Chico,Butte,901,233.7%
13150,Oxnard,CA,Ventura,Ventura,105,274.6%
13232,Pearblossom,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,8124,271.1%
13256,Perris,CA,Riverside,Riverside,316,261.3%
13318,Pixley,CA,Visalia,Tulare,5924,215.7%
13355,Pollock Pines,CA,Sacramento,El Dorado,4998,225.3%
13436,Rancho Santa Fe,CA,San Diego,San Diego,7555,#DIV/0!
13594,Roseville,CA,Sacramento,Placer,274,250.6%
13691,San Bruno,CA,San Francisco,San Mateo,1130,373.2%
13693,San Clemente,CA,Los Angeles-Long Beach-Anaheim,Orange,697,336.9%
13695,San Joaquin,CA,Fresno,Fresno,6083,186.7%
13698,San Leandro,CA,San Francisco,Alameda,318,336.3%
13699,San Mateo,CA,San Francisco,San Mateo,313,391.0%
13712,Santa Barbara,CA,Santa Maria-Santa Barbara,Santa Barbara,428,374.4%
13713,Santa Clara,CA,San Jose,Santa Clara,238,429.2%
13715,Santa Cruz,CA,Santa Cruz,Santa Cruz,343,370.6%
13716,Santa Fe Springs,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,2674,296.6%
13929,South San Francisco,CA,San Francisco,San Mateo,716,372.4%
13977,Squaw Valley,CA,Fresno,Fresno,9470,176.0%
14111,Temple City,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1460,385.1%
14185,Trinidad,CA,Eureka,Humboldt,9135,#DIV/0!
14542,West Covina,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,299,316.4%
14634,Whittier,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,467,308.5%
14803,Cottonwood,CA,Red Bluff,Tehama,3815,#DIV/0!
15237,La Palma,CA,Los Angeles-Long Beach-Anaheim,Orange,2839,#DIV/0!
15294,Escalon,CA,Stockton,San Joaquin,3165,236.7%
15554,Rancho Santa Margarita,CA,Los Angeles-Long Beach-Anaheim,Orange,1013,#DIV/0!
15874,Mokelumne Hill,CA,,Calaveras,9753,242.4%
15893,Wheatland,CA,Yuba City,Yuba,6031,239.9%
16066,Volcano,CA,,Amador,10417,220.5%
16363,Shingletown,CA,Redding,Shasta,7945,211.1%
16583,Portola Valley,CA,San Francisco,San Mateo,6133,#DIV/0!
16677,Acton,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,5894,210.6%
16697,Alameda,CA,San Francisco,Alameda,599,395.9%
16760,American Canyon,CA,Napa,Napa,2249,236.1%
16764,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,49,331.2%
16780,Antioch,CA,San Francisco,Contra Costa,345,243.2%
16803,Armona,CA,Hanford,Kings,10340,178.3%
16961,Bell Gardens,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,991,#DIV/0!
16992,Berkeley,CA,San Francisco,Alameda,242,406.9%
17114,Bonsall,CA,San Diego,San Diego,7161,283.0%
17124,Borrego Springs,CA,San Diego,San Diego,9848,168.5%
17128,Boulder Creek,CA,Santa Cruz,Santa Cruz,4230,#DIV/0!
17150,Brea,CA,Los Angeles-Long Beach-Anaheim,Orange,1035,318.4%
17155,Brentwood,CA,San Francisco,Contra Costa,698,237.7%
17174,Broadmoor Village,CA,San Francisco,San Mateo,6365,360.0%
17235,Burlingame,CA,San Francisco,San Mateo,1441,454.5%
17264,Cambria,CA,San Luis Obispo,San Luis Obispo,5960,#DIV/0!
